x,y,z,yaw,index
-2.481, 0.454, -0.496, 0.942, 3
-2.406, 0.482, 0.439, 0.764, 4
-2.477, -0.548, -0.505, 0.951, 0
-2.362, -0.557, 0.443, -0.479, 1
-2.316, -0.067, -0.025, 0.708, 2
-2.482, 0.46, -0.495, 1.085, 3
-2.408, 0.488, 0.442, 0.758, 4
-2.486, -0.54, -0.504, 1.112, 0
-2.375, -0.55, 0.448, 0.452, 1
-2.308, -0.058, -0.022, -0.594, 2
-2.483, 0.469, -0.492, 0.865, 3
-2.397, 0.495, 0.444, 0.779, 4
-2.484, -0.53, -0.5, 0.978, 0
-2.378, -0.541, 0.451, 0.46, 1
-2.319, -0.049, -0.02, 0.746, 2
-2.484, 0.479, -0.489, 0.871, 3
-2.41, 0.507, 0.448, 0.785, 4
-2.479, -0.522, -0.498, 1.131, 0
-2.392, -0.54, 0.451, 0.747, 1
-2.311, -0.044, -0.021, 1.463, 2
-2.469, 0.483, -0.488, 1.042, 3
-2.409, 0.511, 0.445, 0.752, 4
-2.46, -0.52, -0.5, 1.064, 0
-2.386, -0.54, 0.443, 0.49, 1
-2.328, -0.046, -0.028, 1.357, 2
-2.472, 0.482, -0.496, 1.032, 3
-2.399, 0.507, 0.433, 0.702, 4
-2.469, -0.527, -0.511, 1.073, 0
-2.377, -0.539, 0.433, 0.722, 1
-2.326, -0.05, -0.037, 1.277, 2
-2.487, 0.48, -0.511, 1.163, 3
-2.44, 0.515, 0.428, 0.535, 4
-2.482, -0.533, -0.519, 1.186, 0
-2.39, -0.538, 0.434, 0.376, 1
-2.325, -0.05, -0.043, -0.814, 2
-2.469, 0.475, -0.517, 1.124, 3
-2.423, 0.514, 0.419, 0.75, 4
-2.461, -0.528, -0.516, 1.02, 0
-2.389, -0.535, 0.432, 0.543, 1
-2.312, -0.047, -0.045, 0.92, 2
-2.476, 0.477, -0.523, 1.017, 3
-2.4, 0.512, 0.411, 0.679, 4
-2.496, -0.532, -0.527, 1.117, 0
-2.39, -0.536, 0.427, 0.832, 1
-2.319, -0.046, -0.048, 0.852, 2
-2.458, 0.477, -0.521, 1.008, 3
-2.402, 0.512, 0.412, 0.692, 4
-2.473, -0.524, -0.528, 1.074, 0
-2.378, -0.537, 0.418, 0.528, 1
-2.324, -0.046, -0.051, -0.49, 2
-2.474, 0.483, -0.525, 0.921, 3
-2.397, 0.507, 0.411, 0.684, 4
-2.481, -0.525, -0.534, 0.967, 0
-2.39, -0.544, 0.42, 0.304, 1
-2.316, -0.048, -0.05, 0.465, 2
-2.476, 0.485, -0.523, 1.04, 3
-2.393, 0.502, 0.415, 0.691, 4
-2.462, -0.52, -0.525, 1.176, 0
-2.373, -0.542, 0.424, 0.386, 1
-2.321, -0.048, -0.043, 0.96, 2
-2.466, 0.484, -0.512, 1.177, 3
-2.392, 0.501, 0.427, 0.703, 4
-2.454, -0.518, -0.513, 1.078, 0
