x,y,z,yaw,index
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.85, -0.023, -0.561, 1.46, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.709, 0.678, 0.065, 0.015, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.847, -1.586, 0.008, 0.438, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.861, -0.023, -0.562, 1.551, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.706, 0.678, 0.065, -0.007, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.82, -1.576, 0.008, 0.313, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.719, 0.68, 0.065, -0.008, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.84, -1.584, 0.008, 0.311, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.719, 0.68, 0.065, -0.01, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.834, -1.581, 0.008, 0.293, 0
-3.89, -1.019, -0.543, 0.873, 1
-3.719, -0.535, 0.018, 1.132, 2
-3.883, -0.023, -0.566, 1.549, 3
-3.815, 0.703, -0.486, 1.312, 4
-3.706, 0.678, 0.065, -0.007, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.863, -1.594, 0.008, 0.296, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.875, -0.023, -0.564, 1.551, 3
-3.815, 0.703, -0.486, 1.312, 4
-3.706, 0.678, 0.065, -0.007, 5
-3.804, 1.315, -0.177, -0.159, 6
-3.822, -1.577, 0.008, 0.34, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.71, -0.534, 0.018, 1.504, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.825, 0.705, -0.488, 1.335, 4
-3.691, 0.675, 0.064, -0.073, 5
-3.804, 1.315, -0.177, -0.159, 6
-3.836, -1.582, 0.008, 0.414, 0
-3.918, -1.027, -0.548, 0.878, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.847, -0.022, -0.561, 1.491, 3
-3.84, 0.708, -0.49, 1.211, 4
-3.694, 0.676, 0.064, -0.091, 5
-3.845, 1.329, -0.179, -0.133, 6
-3.865, -1.594, 0.008, 0.437, 0
-3.918, -1.027, -0.548, 0.878, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.847, -0.022, -0.561, 1.491, 3
-3.854, 0.711, -0.492, 1.211, 4
-3.694, 0.676, 0.064, -0.091, 5
-3.845, 1.329, -0.179, -0.133, 6
-3.822, -1.577, 0.008, 0.356, 0
-3.89, -1.019, -0.543, 0.873, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.837, -0.022, -0.559, 1.507, 3
-3.84, 0.708, -0.49, 1.211, 4
-3.694, 0.676, 0.064, -0.091, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.833, -1.581, 0.008, 0.377, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.834, -0.022, -0.559, 1.55, 3
-3.836, 0.707, -0.489, 1.312, 4
-3.702, 0.677, 0.064, -0.051, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.806, -1.57, 0.009, 0.305, 0
-3.698, -0.533, 0.018, 1.504, 2
-3.861, -0.023, -0.562, 1.551, 3
-3.826, 0.705, -0.488, 1.29, 4
-3.702, 0.677, 0.064, -0.051, 5
-3.799, 1.313, -0.177, -0.129, 6
-3.83, -1.58, 0.009, 0.347, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.83, -0.022, -0.558, 1.52, 3
-3.848, 0.709, -0.491, 1.252, 4
-3.694, 0.676, 0.064, -0.091, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.855, -1.59, 0.009, 0.373, 0
-3.894, -1.021, -0.544, 0.936, 1
-3.68, -0.53, 0.018, 1.293, 2
-3.847, -0.023, -0.56, 1.551, 3
-3.815, 0.703, -0.486, 1.312, 4
-3.694, 0.676, 0.064, -0.091, 5
-3.799, 1.313, -0.177, -0.129, 6
-3.838, -1.583, 0.008, 0.374, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.855, -0.023, -0.562, 1.548, 3
-3.826, 0.705, -0.488, 1.29, 4
-3.702, 0.677, 0.064, -0.051, 5
-3.799, 1.313, -0.177, -0.129, 6
